absEta_1.566_2-gold	runNumber	190782	191042	0.9937	0.0023
absEta_1.566_2-bad	runNumber	190782	191042	1.0041	0.0023
absEta_1.566_2-gold	runNumber	191043	191720	0.9957	0.0011
absEta_1.566_2-bad	runNumber	191043	191720	1.0062	0.0011
absEta_1.566_2-gold	runNumber	191721	193833	0.9943	0.0011
absEta_1.566_2-bad	runNumber	191721	193833	1.0048	0.0011
absEta_1.566_2-gold	runNumber	193834	194116	0.9932	0.0011
absEta_1.566_2-bad	runNumber	193834	194116	1.0036	0.0011
absEta_1.566_2-gold	runNumber	194117	194427	0.9926	0.0010
absEta_1.566_2-bad	runNumber	194117	194427	1.0030	0.0010
absEta_1.566_2-gold	runNumber	194428	194618	0.9926	0.0011
absEta_1.566_2-bad	runNumber	194428	194618	1.0030	0.0011
absEta_1.566_2-gold	runNumber	194619	194789	0.9955	0.0011
absEta_1.566_2-bad	runNumber	194619	194789	1.0060	0.0011
absEta_1.566_2-gold	runNumber	194790	195111	0.9965	0.0012
absEta_1.566_2-bad	runNumber	194790	195111	1.0070	0.0012
absEta_1.566_2-gold	runNumber	195112	195377	0.9945	0.0011
absEta_1.566_2-bad	runNumber	195112	195377	1.0049	0.0011
absEta_1.566_2-gold	runNumber	195378	195398	0.9944	0.0011
absEta_1.566_2-bad	runNumber	195378	195398	1.0049	0.0011
absEta_1.566_2-gold	runNumber	195399	195657	0.9937	0.0011
absEta_1.566_2-bad	runNumber	195399	195657	1.0041	0.0011
absEta_1.566_2-gold	runNumber	195658	195918	0.9966	0.0011
absEta_1.566_2-bad	runNumber	195658	195918	1.0070	0.0011
absEta_1.566_2-gold	runNumber	195919	196198	0.9948	0.0011
absEta_1.566_2-bad	runNumber	195919	196198	1.0053	0.0011
absEta_1.566_2-gold	runNumber	196199	196356	0.9943	0.0011
absEta_1.566_2-bad	runNumber	196199	196356	1.0048	0.0011
absEta_1.566_2-gold	runNumber	196357	198115	0.9930	0.0009
absEta_1.566_2-bad	runNumber	196357	198115	1.0034	0.0009
absEta_1.566_2-gold	runNumber	198116	198940	0.9956	0.0010
absEta_1.566_2-bad	runNumber	198116	198940	1.0060	0.0010
absEta_1.566_2-gold	runNumber	198941	199317	0.9931	0.0010
absEta_1.566_2-bad	runNumber	198941	199317	1.0035	0.0010
absEta_1.566_2-gold	runNumber	199318	199428	0.9930	0.0011
absEta_1.566_2-bad	runNumber	199318	199428	1.0034	0.0011
absEta_1.566_2-gold	runNumber	199429	199697	0.9936	0.0010
absEta_1.566_2-bad	runNumber	199429	199697	1.0040	0.0010
absEta_1.566_2-gold	runNumber	199698	199832	0.9920	0.0011
absEta_1.566_2-bad	runNumber	199698	199832	1.0025	0.0011
absEta_1.566_2-gold	runNumber	199833	199960	0.9946	0.0010
absEta_1.566_2-bad	runNumber	199833	199960	1.0051	0.0010
absEta_1.566_2-gold	runNumber	199961	200151	0.9927	0.0011
absEta_1.566_2-bad	runNumber	199961	200151	1.0032	0.0011
absEta_1.566_2-gold	runNumber	200152	200490	0.9947	0.0010
absEta_1.566_2-bad	runNumber	200152	200490	1.0051	0.0010
absEta_1.566_2-gold	runNumber	200491	200991	0.9927	0.0010
absEta_1.566_2-bad	runNumber	200491	200991	1.0032	0.0010
absEta_1.566_2-gold	runNumber	200992	201201	0.9920	0.0010
absEta_1.566_2-bad	runNumber	200992	201201	1.0024	0.0010
absEta_1.566_2-gold	runNumber	201202	201624	0.9918	0.0011
absEta_1.566_2-bad	runNumber	201202	201624	1.0023	0.0011
absEta_1.566_2-gold	runNumber	201625	201707	0.9917	0.0011
absEta_1.566_2-bad	runNumber	201625	201707	1.0021	0.0011
absEta_1.566_2-gold	runNumber	201708	202059	0.9937	0.0010
absEta_1.566_2-bad	runNumber	201708	202059	1.0042	0.0010
absEta_1.566_2-gold	runNumber	202060	202204	0.9923	0.0010
absEta_1.566_2-bad	runNumber	202060	202204	1.0027	0.0010
absEta_1.566_2-gold	runNumber	202205	202332	0.9946	0.0011
absEta_1.566_2-bad	runNumber	202205	202332	1.0051	0.0010
absEta_1.566_2-gold	runNumber	202333	202972	0.9922	0.0011
absEta_1.566_2-bad	runNumber	202333	202972	1.0026	0.0011
absEta_1.566_2-gold	runNumber	202973	203002	0.9934	0.0014
absEta_1.566_2-bad	runNumber	202973	203002	1.0039	0.0014
absEta_1.566_2-gold	runNumber	203003	203852	0.9781	0.0040
absEta_1.566_2-bad	runNumber	203003	203852	0.9884	0.0040
absEta_1.566_2-gold	runNumber	203853	204099	0.9928	0.0011
absEta_1.566_2-bad	runNumber	203853	204099	1.0032	0.0011
absEta_1.566_2-gold	runNumber	204100	204562	0.9928	0.0012
absEta_1.566_2-bad	runNumber	204100	204562	1.0032	0.0012
absEta_1.566_2-gold	runNumber	204563	205085	0.9940	0.0010
absEta_1.566_2-bad	runNumber	204563	205085	1.0045	0.0010
absEta_1.566_2-gold	runNumber	205086	205310	0.9924	0.0011
absEta_1.566_2-bad	runNumber	205086	205310	1.0028	0.0010
absEta_1.566_2-gold	runNumber	205311	205617	0.9925	0.0011
absEta_1.566_2-bad	runNumber	205311	205617	1.0029	0.0011
absEta_1.566_2-gold	runNumber	205618	205825	0.9928	0.0011
absEta_1.566_2-bad	runNumber	205618	205825	1.0032	0.0010
absEta_1.566_2-gold	runNumber	205826	206207	0.9929	0.0010
absEta_1.566_2-bad	runNumber	205826	206207	1.0033	0.0010
absEta_1.566_2-gold	runNumber	206208	206389	0.9909	0.0010
absEta_1.566_2-bad	runNumber	206208	206389	1.0013	0.0010
absEta_1.566_2-gold	runNumber	206390	206483	0.9950	0.0011
absEta_1.566_2-bad	runNumber	206390	206483	1.0054	0.0011
absEta_1.566_2-gold	runNumber	206484	206597	0.9934	0.0010
absEta_1.566_2-bad	runNumber	206484	206597	1.0038	0.0010
absEta_1.566_2-gold	runNumber	206598	206896	0.9923	0.0011
absEta_1.566_2-bad	runNumber	206598	206896	1.0027	0.0010
absEta_1.566_2-gold	runNumber	206897	207220	0.9939	0.0011
